Rk,Team,,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23,Atlanta Hawks*,42-40,East,82,242.4,39.1,82.6,0.474,0.3,1.6,0.219,38.8,81.1,0.479,22.4,29.1,0.768,13.8,28.9,42.7,22.1,7.4,5.9,16.4,27.7,101
4,Boston Celtics*,63-19,East,82,241.2,44.6,89.4,0.499,0.6,2.2,0.266,44,87.2,0.505,22.2,30,0.74,15.3,30.4,45.6,25.9,8,6.9,17.7,24.6,112
15,Chicago Bulls,34-48,East,82,242.4,41.1,82,0.501,0.7,2.6,0.254,40.4,79.5,0.509,23.8,31,0.767,13.7,30.8,44.5,24.9,7.1,5.9,20,24.5,106.6
21,Cleveland Cavaliers,15-67,East,82,241.5,41.5,89.4,0.464,0.3,1.7,0.182,41.2,87.8,0.47,19.9,26.6,0.747,14.5,26.5,41,22.8,7.7,4.4,16.1,26.7,103.2
19,Dallas Mavericks,28-54,West,82,240.6,41.3,88.1,0.469,0.7,2.3,0.289,40.7,85.8,0.474,21.2,28.9,0.735,14.8,27.2,42,25.8,6.9,3.8,16.1,26.7,104.6
1,Denver Nuggets*,46-36,West,82,241.8,48.5,93.4,0.52,0.5,1.8,0.268,48,91.5,0.525,28.9,36.3,0.796,14,29.8,43.8,27.7,8.1,4.5,17.9,26,126.5
6,Detroit Pistons,39-43,East,82,241.8,43.4,90.1,0.482,0.6,2.6,0.244,42.8,87.5,0.489,23.6,31.5,0.751,15.8,28.6,44.4,24.7,9,6.9,19.9,26.3,111.1
8,Golden State Warriors,45-37,West,82,241.2,44.5,89.6,0.496,1.1,4,0.28,43.4,85.7,0.506,20.8,29,0.717,15.6,29.9,45.5,22.2,8.4,4.8,17.4,27.1,110.9
18,Houston Rockets*,46-36,West,82,241.2,42.7,89.8,0.476,0.6,2.1,0.284,42.1,87.7,0.48,19.8,27.1,0.729,17.1,27.9,45,24.1,7.9,5.2,16.1,22.8,105.9
22,Indiana Pacers,35-47,East,82,241.8,40.6,87.4,0.465,1.3,3.9,0.326,39.4,83.5,0.472,19.7,26.5,0.741,13.9,28.9,42.8,23.1,9.2,6,17,24.9,102.2
