Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23,Atlanta Hawks*,40-42,East,82,242.1,39.4,83,0.474,0.3,1.3,0.217,39.1,81.7,0.478,22.4,29.4,0.761,13.6,27.2,40.8,22.3,7.6,6.8,16.2,25.5,101.5
7,Boston Celtics*,62-20,East,82,243.4,44.1,88.2,0.5,0.7,2.8,0.24,43.4,85.4,0.508,23.3,29.4,0.792,14.1,31,45.1,25.9,8.2,5.2,17.3,23.8,112.1
20,Chicago Bulls,27-55,East,82,243.7,40.3,85,0.474,0.2,1.4,0.171,40.1,83.6,0.479,22.8,30.6,0.746,13.9,28,42,25.5,8.4,5.5,19.2,26.8,103.7
22,Cleveland Cavaliers,28-54,East,82,242.1,41,88.2,0.465,0.5,2,0.262,40.5,86.2,0.47,19.7,26.6,0.743,14.8,29.1,43.9,23.5,7.7,4.6,16.2,26.9,102.3
11,Dallas Mavericks*,43-39,West,82,243.4,44.1,88.2,0.5,0.5,2.2,0.228,43.6,86,0.507,21.6,28.7,0.755,13.3,27.6,40.9,26.4,7.1,4.4,15.9,23.2,110.4
1,Denver Nuggets*,38-44,West,82,241.5,48,97.4,0.493,0.9,3.1,0.302,47,94.2,0.499,26.8,32.8,0.818,13.8,29.8,43.6,30.3,8.7,4.3,16.4,27.8,123.7
3,Detroit Pistons*,49-33,East,82,242.7,46.3,96.5,0.48,0.4,1.7,0.227,45.9,94.7,0.485,24.1,31.1,0.775,17.4,29.7,47.1,27.5,8.5,5.1,16,26.5,117.1
14,Golden State Warriors,37-45,West,82,241.8,42.9,91.9,0.467,0.7,2.8,0.243,42.2,89.1,0.474,23.4,31.4,0.743,17,26.5,43.4,22.4,10.1,4.2,18.5,25.7,109.9
10,Houston Rockets,29-53,West,82,240.9,45.5,91.9,0.495,0.4,1.9,0.195,45.1,90,0.501,19.3,26.1,0.74,14.6,30.3,44.9,26.9,7.6,6.3,19,28.3,110.6
19,Indiana Pacers,26-56,East,82,241.2,42,87,0.483,0.6,2.5,0.232,41.5,84.4,0.491,19.8,25.8,0.766,12.2,29.2,41.5,26.5,10.2,4.9,18.6,25.1,104.5
12,Kansas City Kings*,38-44,West,82,240.9,42.9,88.2,0.486,0.6,2.3,0.275,42.2,85.9,0.492,23.6,30.4,0.777,14,27.7,41.7,27.2,8.7,4.7,18.3,26.8,110
4,Los Angeles Lakers*,54-28,West,82,241.2,47,88.4,0.532,0.7,2.8,0.257,46.3,85.7,0.54,20.9,27.7,0.754,13.4,30.5,43.8,29.9,8.9,5.8,19.2,25,115.6
18,Milwaukee Bucks*,50-32,East,82,242.7,41.9,85,0.492,0.7,2.8,0.254,41.1,82.2,0.501,21.3,28.7,0.74,13.8,29.1,42.9,25.8,7.8,6,17.3,26.4,105.7
13,New Jersey Nets*,45-37,East,82,241.5,44.1,88.5,0.498,0.6,2.8,0.211,43.5,85.7,0.507,21.2,30.3,0.7,14.9,28.2,43.1,26.2,9.9,6.1,19.6,27.4,110
17,New York Knicks*,47-35,East,82,242.1,41.3,83.4,0.495,0.6,2,0.285,40.7,81.4,0.5,23.7,30.6,0.775,13.3,27.2,40.5,24.9,9.8,4.4,19.4,27.8,106.9
16,Philadelphia 76ers*,52-30,East,82,243.4,41.3,83.3,0.495,0.4,1.3,0.271,40.9,82,0.499,24.9,33,0.754,14.4,29,43.5,24.8,9.8,8,19.9,24.9,107.8
8,Phoenix Suns*,41-41,West,82,241.2,44.8,88,0.509,0.9,3.5,0.254,43.9,84.5,0.52,20.4,26.9,0.759,13,28,41,27,8.5,4.7,17.7,26.2,111
6,Portland Trail Blazers*,48-34,West,82,241.5,44.3,87.7,0.505,0.3,1.6,0.194,44,86.1,0.511,24.2,32.2,0.754,15.3,26.8,42,25.4,9.9,4.8,18.1,26,113.1
2,San Antonio Spurs,37-45,West,82,243.7,47.7,94.2,0.506,1,3.2,0.3,46.7,91,0.514,24,31.8,0.755,15,30.8,45.8,28.8,8.4,6,17.6,26.2,120.3
9,San Diego Clippers,30-52,West,82,240.6,44.3,89.3,0.496,0.3,1.6,0.188,44,87.8,0.502,21.8,29.6,0.736,15.9,29,45,24.2,6.9,4.7,18.5,24.6,110.7
15,Seattle SuperSonics*,42-40,West,82,241.2,42.2,86.4,0.488,0.3,1.7,0.193,41.9,84.7,0.494,23.4,30,0.78,13,28.4,41.4,27.2,7.8,4.3,16.6,23,108.1
5,Utah Jazz*,45-37,West,82,241.2,44,88.3,0.498,1.2,3.9,0.319,42.7,84.5,0.506,25.8,33,0.781,13.4,30.8,44.1,27.2,8.5,7.4,18.4,24.1,115
21,Washington Bullets*,35-47,East,82,242.7,40.8,84.2,0.484,0.9,3.4,0.252,39.9,80.8,0.494,20.3,26.8,0.756,12.5,29.1,41.6,26.7,6.8,3.9,17.7,24.3,102.7
23,a,40-42,East,82,242.1,39.4,83,0.474,0.3,1.3,0.217,39.1,81.7,0.478,22.4,29.4,0.761,13.6,27.2,40.8,22.3,7.6,6.8,16.2,25.5,101.5
20,b,27-55,East,82,243.7,40.3,85,0.474,0.2,1.4,0.171,40.1,83.6,0.479,22.8,30.6,0.746,13.9,28,42,25.5,8.4,5.5,19.2,26.8,103.7
1,c,38-44,West,82,241.5,48,97.4,0.493,0.9,3.1,0.302,47,94.2,0.499,26.8,32.8,0.818,13.8,29.8,43.6,30.3,8.7,4.3,16.4,27.8,123.7
16,d,52-30,East,82,243.4,41.3,83.3,0.495,0.4,1.3,0.271,40.9,82,0.499,24.9,33,0.754,14.4,29,43.5,24.8,9.8,8,19.9,24.9,107.8
2,e,37-45,West,82,243.7,47.7,94.2,0.506,1,3.2,0.3,46.7,91,0.514,24,31.8,0.755,15,30.8,45.8,28.8,8.4,6,17.6,26.2,120.3
5,f,45-37,West,82,241.2,44,88.3,0.498,1.2,3.9,0.319,42.7,84.5,0.506,25.8,33,0.781,13.4,30.8,44.1,27.2,8.5,7.4,18.4,24.1,115
4,g,54-28,West,82,241.2,47,88.4,0.532,0.7,2.8,0.257,46.3,85.7,0.54,20.9,27.7,0.754,13.4,30.5,43.8,29.9,8.9,5.8,19.2,25,115.6
